# NaN -110
# X, Y, HEADING, d4:6e:0e:b0:22:cf, ac:84:c6:a1:6d:1a, 1c:5f:2b:5d:41:9a, 78:11:dc:18:32:3c, e8:fc:af:7d:f6:a9, 50:64:2b:4f:14:8e, 18:a6:f7:7c:20:82, 10:be:f5:fe:b3:41, 38:94:e0:b1:78:60, c8:e7:d8:82:e1:50, 00:17:7c:41:8f:cd, 48:ee:0c:45:c6:8a, 00:22:3f:31:fa:22, b0:39:56:b1:6d:51, a0:ab:1b:d8:f4:48, c4:e9:84:6f:f8:a4, 00:17:7c:66:2d:64, f4:f5:24:5d:a1:f8, 10:62:eb:1e:7f:6e, 18:a6:f7:e9:82:6a, b0:be:76:83:1f:6f, a0:ab:1b:1e:70:e3, 78:44:76:b1:66:00, 90:8d:78:f7:8f:c5, 0c:d2:b6:37:45:ec, b8:a3:86:87:8f:f5, 0c:d2:b5:50:bd:92, a4:2b:8c:eb:e1:5c, fc:3f:db:2a:e2:c1, c4:71:54:d9:91:6e, ac:84:c6:b7:fc:04, 38:94:e0:af:be:89, e0:10:7f:c7:fd:e8, e0:10:7f:87:bc:d8, e0:10:7f:c7:e6:a8, e0:10:7f:07:e6:a8, e0:10:7f:47:e6:a8, e0:10:7f:07:e6:a9, e0:10:7f:87:e6:a8, 94:fb:b3:ff:9e:fd, 30:b5:c2:7c:97:3a, 58:93:96:48:3e:78, e0:10:7f:07:fd:e8, 3e:5c:c4:d0:be:08, 10:da:43:e9:de:c0, 78:54:2e:4e:72:ec, ac:84:c6:e2:68:51, e0:10:7f:07:fd:e9, e0:10:7f:87:fd:e8, 70:4f:57:29:a9:5b, 10:62:eb:72:aa:ee, 18:a6:f7:75:a9:66, 70:4f:57:60:3d:7f, 74:da:da:eb:39:2e, 80:26:89:52:15:54, b0:7f:b9:16:81:68, 6c:aa:b3:fb:2e:f8, 18:a6:f7:f5:b1:c4, 58:93:96:08:3e:78, 6c:aa:b3:3b:2e:f8, e0:10:7f:89:33:a8, 6c:aa:b3:3b:2e:f9, 6c:aa:b3:bb:2e:f8, 58:93:96:08:3e:79, 6c:aa:b3:7b:2e:f8, ae:5f:3e:cf:a9:57, e0:10:7f:49:33:a8, e0:10:7f:09:33:a8, 78:44:76:fc:c7:28, 64:66:b3:dd:4a:48, e0:10:7f:47:dc:38, e0:10:7f:07:dc:38, e0:10:7f:07:dc:39, e0:10:7f:87:dc:38, e8:de:27:e9:c7:7a, 50:6a:03:ed:b4:9e, 78:32:1b:50:d8:23, e0:10:7f:c7:bc:d8, 58:ef:68:61:e3:69, 74:da:da:eb:9c:cf, ac:84:c6:14:91:fa, e0:10:7f:c9:33:a8, e0:10:7f:07:bc:d9, e0:10:7f:07:bc:d8, 58:93:96:88:3e:78, ac:84:c6:b8:04:35, a0:ab:1b:cf:57:72, e0:10:7f:47:bc:d8, e0:10:7f:c7:dc:38, a4:2b:b0:c5:fb:8f, 58:93:96:c8:3e:78, 14:cc:20:e2:3d:24, e0:10:7f:47:fd:e8, 0c:80:63:62:21:63, 00:17:7c:8b:98:73, 0e:e0:dc:56:c1:22, 1c:5f:2b:4c:7c:f6, 38:94:e0:b1:97:68, fa:8f:ca:7c:f2:dd, ac:84:c6:e2:68:50, 7c:c3:a1:b4:f3:57, 78:32:1b:47:d3:ff, 78:32:1b:62:c1:66, b8:c1:a2:4e:86:f4, a8:6b:ad:96:18:94, a8:25:eb:31:43:89, 78:32:1b:39:2d:1a, 50:64:2b:47:ce:33, 28:3b:82:65:d2:3d, 78:32:1b:58:14:4e, b6:be:76:83:1f:60, 00:17:7c:50:34:6b, 00:17:7c:74:4e:15, 74:da:da:b0:48:42, 2c:30:33:20:f6:e8, 18:0f:76:fe:91:9c, 60:8e:08:df:cb:ae, b6:7c:9c:bf:57:45
12.895862934901922, 77.67778694629669, 180, -101.9, -106.1, -105.5, -103.5, -105.9, -107.3, -103.2, -101.4, -104.9, -101, -104.9, -101.7, -102, -104.9, -102.9, -103.6, -104.3, -93.9, -103.7, -102.1, -107.4, -107, -102.5, -103.2, -102.1, -102.4, -105, -103.9, -103.6, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
12.895806721931022, 77.677753418684, 180, -95.6, -102.7, -110, -103.7, -103.1, -104.5, -98.1, -110, -100, -97.3, -110, -100.9, -101.4, -105.8, -110, -110, -99.5, -100, -110, -99.1, -110, -110, -100.5, -110, -106.2, -97.5, -104.8, -110, -106.7, -100.1, -100, -102.7, -108, -101.6, -101.8, -101.3, -101.1, -99.2, -101.3, -100.1, -102.7, -102, -106, -101.3, -98.5, -100.5, -103.5, -100.5, -108, -99.5, -100, -100.2, -104.8, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
12.895839730711979, 77.67781544476748, 180, -98.3, -110, -110, -110, -98, -110, -98.3, -110, -110, -95.9, -110, -95.4, -99.9, -103.7, -110, -110, -96.6, -79.8, -110, -110, -110, -102.3, -97, -110, -95.8, -95.2, -100.7, -99.3, -97.8, -110, -101.8, -110, -110, -110, -110, -110, -110, -110, -110, -94.4, -110, -110, -110, -108, -110, -110, -110, -110, -110, -110, -110, -104.1, -110, -95.3, -97.2, -97.8, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
12.895768484030814, 77.67771888524294, 180, -95.5, -103.5, -110, -104.3, -101.8, -102.1, -100, -110, -110, -95.4, -106.9, -104, -110, -110, -110, -100, -96.3, -100.8, -99.2, -101.9, -104.5, -110, -98.8, -110, -110, -99.7, -110, -104.5, -103.1, -110, -100.5, -110, -110, -100.8, -110, -110, -110, -110, -110, -96.9, -105.6, -110, -110, -108.3, -107.9, -100.3, -110, -110, -110, -100.6, -100, -94.1, -99.2, -110, -110, -110, -102.7, -103.5, -101.6, -100.9, -105.3, -103, -102.5, -101.3, -102.7, -108.4, -98, -102.6, -102.7, -108.1, -101.5, -103.9, -100.4, -99.8, -103.9, -108.4, -103.1, -102.4, -101.5, -102, -108.2, -105.1, -102.3, -102.5, -101.3, -101.6, -99.1, -102, -100.1, -104.3, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
12.895808682848832, 77.67774101346731, 180, -95.4, -106.5, -110, -105.4, -104.3, -110, -99.8, -110, -110, -98, -107.4, -100.5, -103.3, -104.5, -101.9, -110, -101.7, -99.4, -110, -104.5, -110, -107.1, -101.3, -108.5, -103.5, -100.4, -102.5, -110, -102.9, -101.9, -102.5, -102.9, -110, -110, -101.2, -110, -110, -110, -101.2, -101.7, -110, -110, -105.6, -101, -104.8, -105.9, -110, -110, -110, -101.9, -101.8, -100.8, -104.5, -104.9, -110, -106.9, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -108.6, -110, -110, -110, -110, -110, -106.1, -110, -103.5, -110, -108.5, -110, -110, -110, -105.6, -110, -110, -110, -105.2, -110, -110, -106.3, -106.3, -105.6, -106.9, -105.6, -106.3, -105.8, -102.7, -102.4, -107.1, -104.8, -107.4, -105.6, -108.3, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
12.895767830391446, 77.6777346432209, 180, -94.1, -100.1, -110, -102.9, -110, -103.8, -98.7, -110, -110, -99.1, -110, -103.5, -110, -110, -110, -101, -106.5, -100.8, -110, -98.5, -110, -110, -98.6, -110, -104.5, -98.1, -110, -99.9, -101.3, -106, -102, -110, -110, -110, -98.2, -98.2, -110, -98.2, -98.6, -97.8, -101.6, -110, -110, -110, -105.6, -110, -110, -110, -110, -98.7, -99, -92.9, -110, -110, -110, -110, -110, -110, -110, -101.8, -110, -110, -110, -110, -106, -110, -110, -110, -101.6, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -99.7, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -106.5, -110, -102.1, -110, -110, -110, -110, -105.5, -110, -110, -103.5, -110, -110, -104.4, -101.6, -101.8, -106, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
12.895840384351166, 77.6778208091855, 180, -99, -110, -110, -110, -110, -110, -110, -99.5, -110, -97.5, -110, -99, -87, -98, -110, -110, -100, -88, -110, -110, -110, -110, -98, -110, -98, -97, -99.5, -110, -101, -110, -99.5, -110, -110, -110, -110, -110, -110, -110, -110, -99, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -98.5, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -97, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
12.895743645733525, 77.67780236899853, 180, -110, -110, -110, -110, -110, -110, -106.8, -103.2, -110, -97, -110, -105.8, -110, -98.6, -110, -110, -94.6, -86.4, -110, -110, -110, -110, -106.2, -110, -95, -91, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -98.4, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -96.4, -105.4, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -102, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
12.895792015047014, 77.67780169844627, 180, -98.4, -110, -103.1, -110, -110, -110, -98, -110, -110, -99.1, -110, -99.1, -110, -98.1, -110, -110, -106, -89.1, -110, -110, -110, -110, -98, -110, -96.3, -88.6, -110, -110, -100.3, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -98.9, -110, -110, -110, -108, -110, -110, -110, -110, -110, -100.4, -105.5, -100.2, -110, -103.1, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -103.8, -103.7, -101.6, -110, -110, -110, -110, -110, -110, -110, -110
12.895741031175774, 77.67779901623726, 180, -107.2, -110, -110, -110, -110, -110, -110, -99.5, -110, -110, -110, -110, -110, -101.5, -110, -110, -110, -95.2, -110, -110, -110, -110, -107, -110, -99.8, -96.1, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -101.5, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -105.5, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -103.5, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
