# NaN -110
# X, Y, HEADING, 00:27:e3:ed:b5:41, 18:80:90:2d:b4:e9, 00:a3:8e:67:05:03, 00:27:e3:ed:b5:46, 00:a3:8e:67:05:04, 00:27:e3:ed:b5:43, 00:a3:8e:67:05:01, 00:27:e3:ed:b5:44, 18:80:90:1a:0f:2f, 18:80:90:2d:b4:e1, 18:80:90:2d:b4:e4, 18:80:90:1a:0f:2d, 18:80:90:2d:b4:e3, 18:80:90:2d:b4:e6, 18:80:90:2a:fa:8c, 18:80:90:2d:f8:21, 18:80:90:2a:fc:2a, 18:80:90:2a:fa:8a, 18:80:90:2a:fc:2c, 18:80:90:2a:fa:8f, 18:80:90:2d:f8:24, 18:80:90:2d:f8:23, 18:80:90:2a:fa:8d, 18:80:90:2d:f8:29, 60:45:cb:67:d6:68, 18:80:90:2d:f8:26, 18:80:90:2a:fc:2d, 18:80:90:2a:fc:2f, 18:80:90:2a:fa:83, 18:80:90:2a:fc:21, d8:eb:97:32:13:4a, 18:80:90:2a:fa:81, 18:80:90:2a:fc:23, 18:80:90:16:b1:03, 18:80:90:2a:fa:86, 18:80:90:16:b1:04, 18:80:90:2a:fa:84, 18:80:90:2a:fc:29, 18:80:90:2a:fa:89, 18:80:90:2a:fc:24, 18:80:90:2a:fc:26, 1c:5f:2b:44:09:d8, 18:80:90:2d:b4:ea, 18:80:90:2d:b4:ed, 18:80:90:2d:b4:ec, 18:80:90:2d:b4:ef, d8:eb:97:32:13:4c, d8:eb:97:32:13:4b, d8:eb:97:32:13:4d, 18:80:90:1a:0f:23, 18:80:90:1a:0f:21, 60:8e:08:fd:e2:fc, 00:27:e3:ed:b5:4a, 1a:5e:0f:ab:7e:99, 00:27:e3:ed:b5:4f, 00:27:e3:ed:b5:4c, 00:27:e3:ed:b5:4d, 18:80:90:1a:0f:26, 18:80:90:1a:0f:24, 18:80:90:1a:0f:29, 18:80:90:21:d1:ef, 18:80:90:21:d1:ec, 02:03:7f:d7:00:01, 18:80:90:21:d1:ed, 18:80:90:21:d1:ea, f2:d5:bf:86:8b:75, e0:98:61:a6:e3:ae, 18:80:90:1a:0f:2c, 18:80:90:1a:0f:2a, 00:27:e3:ed:b5:49, 18:80:90:2d:ba:29, de:eb:97:32:13:4b, de:eb:97:32:13:4a, de:eb:97:32:13:4d, 18:80:90:2d:ba:26, de:eb:97:32:13:4c, 18:80:90:2d:ba:23, 18:80:90:2d:ba:24, 18:80:90:16:b5:6c, 18:80:90:16:b5:6a, 18:80:90:16:b5:6f, 18:80:90:16:b5:6d, 18:80:90:2d:ba:2f, 18:80:90:2d:ba:2c, 18:80:90:2d:ba:2d, 18:80:90:2d:ba:2a, 98:9c:57:de:b6:65, 18:80:90:21:d1:e6, 18:80:90:21:d1:e3, 18:80:90:21:d1:e4, 18:80:90:21:d1:e1, 18:80:90:21:dd:e6, 18:80:90:21:dd:e3, 18:80:90:21:d1:e9, f2:d5:bf:86:79:05, 18:80:90:21:dd:e4, 18:80:90:2d:f8:2a, 18:80:90:2d:f8:2d, 18:80:90:2d:f8:2c, 00:a3:8e:67:05:0f, 18:80:90:2d:f8:2f, 00:a3:8e:67:05:0c, 00:a3:8e:67:05:0d, 00:a3:8e:67:05:0a, 18:80:90:16:b5:69, f4:f5:24:5d:a1:f8, 18:80:90:16:b5:63, 18:80:90:16:b5:61, 18:80:90:16:b5:66, 18:80:90:16:b5:64, 60:45:cb:67:d6:6c, 60:45:cb:67:af:4c, 00:a3:8e:67:05:06, 70:4f:57:f2:e8:c2, 00:a3:8e:67:05:09, bc:8a:e8:01:df:dd, 18:80:90:34:74:c4, 18:80:90:34:74:c3, 18:80:90:34:74:c6, 60:45:cb:67:af:48, 18:80:90:16:bb:c6, 18:80:90:16:bb:c4, 40:ce:24:f7:48:86, 18:80:90:16:bb:c3, 40:ce:24:f7:48:83, 18:80:90:34:c3:e6, 40:ce:24:f7:48:84, c0:25:e9:c5:01:7e, 18:80:90:34:c4:66, 18:80:90:34:c4:64, f6:96:34:ad:c8:d9, 78:92:3e:b1:ee:06, 18:80:90:34:c3:e4, 18:80:90:34:c3:e3, 18:80:90:34:c4:63, 18:80:90:34:74:c1, 48:3c:0c:b1:c5:b6, 18:80:90:34:c3:e9, 18:80:90:34:c3:e1, 18:80:90:16:bb:c9, 18:80:90:16:bb:cf, 18:80:90:16:bb:cd, 18:80:90:16:bb:cc, 18:80:90:16:bb:ca, 18:80:90:34:c3:ed, 18:80:90:34:c3:ef, 18:80:90:34:c3:ea, 18:80:90:34:c3:ec, 5c:99:60:2b:e1:5e, 18:80:90:2b:00:81, 18:80:90:16:bb:c1, 54:3d:37:a1:be:48, 18:80:90:2b:00:86, 18:80:90:34:ba:43, 18:80:90:34:ba:44, 18:80:90:34:ba:46, 18:80:90:34:72:81, 18:80:90:34:72:83, b8:c1:a2:44:a8:cc, 18:80:90:34:72:86, 54:3d:37:61:be:48, 54:3d:37:e1:be:48, 18:80:90:2b:00:84, 18:80:90:34:72:84, 00:23:b1:8a:57:44, 2a:16:ad:95:42:b9, 68:c4:4d:00:e5:3b, 54:3d:37:21:be:48, 18:80:90:34:c4:61, 18:80:90:2b:00:83, 6e:4d:73:60:41:b3, 18:80:90:2d:ba:21, fe:56:e7:89:ca:6d, 14:9d:09:fa:c8:30, 18:80:90:16:b1:01, 18:80:90:21:dd:ef, 18:80:90:21:dd:ec, 18:80:90:21:dd:ed, 18:80:90:21:dd:ea, 18:80:90:21:dd:e9, 18:80:90:16:b1:0c, 18:80:90:16:b1:06, 18:80:90:16:b2:e6, bc:2f:3d:cb:d4:fb, 78:02:f8:ca:e6:dd, 18:80:90:2d:ce:06, 18:80:90:16:c3:44
12.919134999895041, 77.68606893718241, 0, -105, -98, -98.7, -95.8, -97.2, -90.8, -99.5, -95.8, -96.3, -105.3, -96.7, -98, -98, -98.3, -99.7, -94, -88, -99.3, -88.2, -99.2, -86.3, -86.5, -99.8, -84.7, -81.3, -86.2, -89.2, -87.7, -93.8, -86.5, -92, -96.7, -86.3, -107.7, -95.2, -107.5, -96.3, -88.5, -99.8, -86.3, -86.5, -83.3, -98.2, -98.8, -98.2, -98.3, -91, -95.8, -93, -97.8, -102.7, -106.3, -97.2, -94.8, -97.3, -97.3, -96.2, -98, -99, -96.8, -89.7, -90, -89.7, -89.8, -90, -101.7, -98.7, -97, -96.7, -96.8, -99, -95.8, -91.8, -93.2, -95.2, -92.3, -94.5, -94.7, -97.8, -99.5, -98.7, -98, -99, -99.7, -98.8, -99.2, -86, -88, -90, -89, -89.5, -99, -98.2, -90, -94.3, -99.7, -84.3, -84.5, -84, -94.7, -83.7, -94.7, -94.8, -94.7, -98, -94.8, -99.2, -106.3, -98, -98.2, -85.7, -99, -97.2, -85.5, -94.2, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
12.919134999895041, 77.68606893718241, 90, -110, -89, -94, -89.7, -93.3, -80.3, -89.3, -90, -93.7, -110, -92.3, -92.7, -93.7, -93.3, -96, -78, -82, -95.3, -82.7, -98, -78, -79.3, -95.3, -73.7, -70.7, -78.3, -82, -81.7, -82.7, -78, -80, -102, -82, -110, -90, -110, -101.7, -83.3, -95.3, -82, -82.3, -68.7, -91.7, -91.3, -89.7, -90.3, -84.7, -87.3, -85.7, -93.3, -95.3, -110, -86.7, -94, -89, -88.7, -87, -93.3, -94.7, -93, -78.3, -79, -79.3, -79, -78.7, -98.7, -94, -92.7, -92.3, -87.7, -97, -88, -81, -87.7, -92.7, -76.7, -91.7, -91.3, -87.7, -87.7, -88, -87, -96.7, -97.3, -97.3, -97, -76.7, -81, -80.7, -81.3, -80.7, -96.7, -98, -79, -83.3, -95.3, -74.3, -74.3, -74, -84, -74, -83.3, -85, -85, -87.3, -87.7, -91, -110, -91.3, -91.7, -75, -90.3, -91.3, -80, -85.3, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
12.919134999895041, 77.68606893718241, 180, -110, -92.7, -90.7, -87.7, -91, -76.7, -87.7, -87.3, -94.3, -100.7, -92.3, -98, -90.7, -92.3, -96.7, -78, -84.3, -95.3, -84.3, -98, -76.3, -77, -95.3, -76.7, -72, -73.3, -83.7, -82.7, -82.7, -78, -80.7, -94.7, -83.3, -110, -90, -110, -110, -84, -98.7, -85, -84.7, -68, -94, -93.3, -93, -92.3, -81.3, -86.7, -83.7, -93.3, -95.3, -110, -87.7, -94.3, -88, -87.7, -87.7, -93.3, -94.7, -93.7, -79, -78.7, -79.3, -78.7, -79.3, -98.7, -94, -94.3, -93.3, -87.3, -97.3, -86.7, -82, -83.3, -91.3, -80, -90.7, -91, -91, -89.7, -91, -90.3, -98, -98, -98, -99.3, -74.3, -83.7, -83.3, -83.3, -82.3, -96.7, -98, -78.7, -87.7, -95.7, -74.7, -76.3, -77, -85.3, -78, -86, -85.3, -85.3, -90, -86.7, -91.7, -110, -91.7, -92, -75.3, -87.7, -87.7, -78.3, -85.3, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
12.919134999895041, 77.68606893718241, 270, -102.5, -98.9, -98, -95.4, -96.5, -90.2, -97.2, -94.9, -95.2, -96, -96.9, -95.5, -96.9, -97.2, -98.6, -110, -86.2, -98.9, -86.2, -98.4, -87.8, -87.2, -99.1, -88.9, -78.2, -86.2, -87, -86.1, -101.5, -87.2, -90.2, -98.5, -87.1, -106.5, -96.1, -106.2, -106.9, -87.1, -98.8, -86.8, -86.9, -82.2, -99.2, -99.5, -98.5, -98.8, -88.8, -94.6, -95.2, -95.2, -110, -110, -96.9, -92.5, -97.6, -98, -98.6, -95.4, -97.4, -95, -91.2, -90.1, -92.2, -89.8, -90, -102, -97, -95.5, -95, -97.4, -98.1, -96, -90.4, -94.9, -93.5, -89.5, -93.5, -93.5, -97.5, -99.1, -100.6, -99, -98.4, -98.1, -98, -98.1, -86.4, -88.5, -87.9, -90.8, -90.1, -99.4, -98.4, -89.9, -94.4, -99.2, -89.1, -88, -89.2, -94.6, -88.9, -94.2, -94.8, -95, -99.6, -93.9, -98.8, -104.5, -99.2, -98.8, -86.6, -96.4, -93.5, -87.9, -94.9, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
12.919160489446805, 77.6860062405467, 0, -110, -96.8, -99.8, -91.2, -99.5, -94.5, -99.9, -94.4, -103.8, -110, -100.3, -103.9, -99.4, -98.3, -105.6, -92.3, -98.2, -106.1, -97.9, -106.1, -94.2, -92.8, -105.8, -91.5, -86.5, -95.2, -97.9, -98.5, -107.1, -96.5, -95.1, -103.8, -98.3, -110, -110, -110, -110, -97.8, -105.8, -98.5, -98.8, -83.6, -96.9, -96.8, -96.9, -96.9, -94.5, -97.5, -95.8, -104.5, -110, -110, -95.5, -103.8, -95.2, -95, -94.8, -110, -110, -104.1, -89.8, -89.9, -90.3, -89.9, -89.8, -107.4, -105.6, -104, -105.7, -95.7, -104.9, -97.5, -95.5, -95.7, -101.2, -94.9, -100.4, -101.5, -100.1, -99.8, -100.5, -99.8, -105.6, -104.9, -104.7, -104.7, -88.8, -87.8, -87.8, -87.7, -88.5, -105.4, -108.6, -90, -92, -107.1, -91.5, -91.5, -91.3, -96.8, -91.3, -96.9, -97.1, -97.2, -99.8, -96.9, -100.5, -110, -100.6, -100.5, -89.8, -99.6, -100.4, -90.1, -97.3, -107.2, -104.2, -103.8, -103.7, -101.2, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
12.919160489446805, 77.6860062405467, 90, -110, -93.5, -93, -71, -95.5, -90, -96.5, -91, -110, -110, -95.5, -100, -98, -95.5, -110, -88.5, -94.5, -110, -95, -110, -89, -89, -110, -87.5, -80, -94.5, -95, -95, -100.5, -95.5, -90, -100.5, -95, -110, -110, -110, -110, -95, -110, -95, -95, -72.5, -93.5, -94, -94, -93.5, -87.5, -93.5, -90.5, -110, -110, -110, -88.5, -103, -88.5, -88.5, -90, -110, -110, -100.5, -81.5, -82, -89, -81.5, -81.5, -110, -110, -100.5, -101, -88.5, -110, -94, -90, -90, -97.5, -87, -96.5, -99, -100.5, -99.5, -99, -98, -110, -110, -110, -110, -80, -79, -78, -78.5, -79.5, -110, -110, -81.5, -86.5, -110, -87, -86.5, -86, -93.5, -86, -93, -93.5, -93.5, -100, -93, -98.5, -110, -98.5, -97.5, -84.5, -97, -95.5, -83, -93, -110, -99.5, -99.5, -99.5, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
12.919160489446805, 77.6860062405467, 180, -110, -103.8, -104.7, -102.3, -105.1, -100.1, -105.8, -102.3, -110, -104.7, -104.4, -110, -104.3, -103.6, -110, -101.6, -104.8, -110, -104.8, -110, -102, -101.9, -110, -101.4, -98.9, -102.4, -104.9, -104.7, -107.4, -104.9, -102.3, -107.4, -105.5, -110, -110, -110, -110, -104.8, -110, -105.2, -105.1, -96.7, -103.7, -103.8, -103.8, -103.6, -102.2, -104.1, -103.4, -110, -110, -110, -102.5, -107.5, -102.3, -102.3, -102.3, -110, -110, -107.4, -99.8, -99.8, -101.7, -99.8, -100, -110, -110, -107.4, -107.5, -102.7, -110, -104, -102.6, -103.4, -106.2, -102, -110, -108.1, -105.5, -105.4, -105.7, -105.4, -110, -110, -110, -110, -100.3, -99.2, -99.2, -99.1, -99.3, -110, -110, -100, -100.1, -110, -101.3, -101.4, -101.3, -103.5, -101.3, -103.5, -103.5, -103.5, -105.5, -103.8, -105.5, -110, -105.4, -105.3, -100, -105.1, -105.1, -100.6, -103.5, -110, -107.1, -107.1, -107.1, -103.6, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
12.919160489446805, 77.6860062405467, 270, -110, -100.3, -102.8, -98.7, -102, -98.7, -103.2, -98.9, -108.5, -106.8, -102.7, -108.9, -101.3, -102.1, -108.9, -97.1, -101.3, -109.1, -101.7, -109.1, -97.9, -97.3, -109, -96.2, -92.9, -98.9, -101.3, -102, -110, -101.6, -98.6, -105.3, -101.4, -110, -110, -110, -110, -101.2, -109, -102.1, -102.3, -90.7, -101.6, -100.6, -100.4, -100.3, -98.9, -100.9, -99.9, -108.7, -110, -110, -99.3, -106.4, -99.2, -99.3, -98.9, -108.7, -110, -108.9, -95.4, -95.4, -96.7, -95.5, -95.3, -109.1, -108.9, -108.8, -108.9, -99.6, -108.8, -101.2, -98.8, -99.9, -103.2, -98.6, -104.1, -104.2, -103.6, -103.7, -103.7, -102.6, -108.9, -108.8, -108.7, -108.7, -95.5, -94.5, -94.6, -93.9, -93.6, -108.9, -109, -95.4, -97.8, -108.9, -96.3, -96.3, -96.2, -100.8, -96.1, -100.8, -101, -100.9, -103.7, -100.9, -103, -110, -102.9, -102.9, -96.2, -102.1, -101.7, -96.2, -100.8, -108, -106.2, -110, -105.6, -104, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
12.919159182290368, 77.68593985587358, 0, -99.2, -95.8, -99.2, -94.7, -99.2, -94.5, -99.5, -94.7, -110, -110, -102.9, -110, -97.6, -99.3, -110, -107.4, -100.9, -110, -101.1, -110, -92.2, -93.1, -110, -95.9, -84.4, -93, -100.9, -100.9, -110, -100.9, -90.6, -110, -100.4, -110, -110, -110, -110, -101.2, -110, -100.8, -100.8, -82.1, -95.1, -95.9, -94.8, -95.4, -93.4, -94.2, -93.4, -110, -110, -110, -93.5, -104.2, -93.6, -93.6, -96.2, -110, -110, -110, -90.9, -90.8, -93.6, -90.6, -91, -110, -110, -110, -110, -94.5, -110, -94.1, -90.6, -93.3, -102.2, -93.2, -102.2, -102.5, -100, -100.1, -100.2, -100.7, -110, -110, -110, -110, -91.5, -90.2, -90.7, -90.4, -90.5, -110, -110, -90.9, -110, -110, -95.6, -94.9, -95, -95.8, -95.1, -95.8, -95.8, -95.8, -100.1, -95.1, -99.8, -108.2, -99.7, -99.9, -89.2, -96.2, -98.7, -90.6, -95.8, -110, -110, -108.9, -110, -93.6, -106.2, -107.8, -106.6, -107.6, -107.9, -106.9, -107.6, -93.8, -108.9, -109, -97.4, -101.5, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
12.919159182290368, 77.68593985587358, 90, -110, -97.1, -99, -96.7, -99, -95.2, -99.1, -96.8, -110, -110, -100.8, -110, -98.1, -98.4, -110, -110, -102.7, -110, -102.6, -110, -98, -97, -110, -99.3, -89.4, -96.6, -103.1, -102.8, -110, -103.4, -95.8, -110, -102.6, -110, -110, -110, -110, -102.7, -110, -102.6, -103.4, -87.1, -97, -97.2, -96.9, -97, -95.9, -97.1, -96, -110, -110, -110, -95.3, -106.5, -95.9, -95.8, -96.4, -110, -110, -110, -95.7, -95.6, -97.4, -95.6, -95.7, -110, -110, -110, -110, -95.4, -110, -97.2, -95.8, -96.3, -104, -95.7, -104, -105.4, -100.5, -100.4, -100.7, -100.9, -110, -110, -110, -110, -95.8, -95.3, -95.2, -95.3, -95.4, -110, -110, -95.7, -110, -110, -99.5, -98.8, -98.9, -97.9, -98.9, -97.8, -97.7, -97.8, -100.5, -98.2, -100.2, -105, -100.2, -100.1, -92.9, -98.9, -99, -94.7, -97.8, -110, -107.7, -106.9, -106.9, -97.7, -105.3, -105.6, -103.5, -105.4, -105.9, -105.7, -106.8, -95.8, -110, -107.9, -101.6, -102.6, -104.3, -104.8, -105, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110
